locus,mel,sim
28S,28S_dmel,28S_dsim
18S,18S_dmel,18S_dsim
FBgn0031044__LOC27207129,FBgn0031044,LOC27207129
FBgn0000257__LOC6726456,FBgn0000257,LOC6726456
FBgn0031050__LOC6740241,FBgn0031050,LOC6740241
FBgn0086384__LOC27208128,FBgn0086384,LOC27208128
FBgn0031092__LOC27208782,FBgn0031092,LOC27208782
FBgn0023177__LOC6726523,FBgn0023177,LOC6726523
FBgn0010380__LOC27207490,FBgn0010380,LOC27207490
